id;user_id;activity_type;drink_id;metadata;created_at
b29a0835-6186-4f6b-9e5d-cc4282f281c4;0e434dbc-e66e-40cf-930d-8236e5545e39;drink_added;88df4f6b-9775-4708-8bd2-2d66e637cd27;"{""image_url"":null,""name"":""Suntory Whiskey"",""rating"":5,""type"":""whiskey""}";2026-01-19 18:26:06.766806+00
d41bd9a0-3374-4bf1-874a-10d446ea45b5;b7d68135-b16f-4efd-89e9-dc9180061ef1;drink_added;995c8e49-a32c-4e99-b8c0-bb29d584d3e6;"{""image_url"":""https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/b7d68135-b16f-4efd-89e9-dc9180061ef1/1764892231028.jpg"",""name"":""Sancerre Domaine Hippolyte Reverdy"",""rating"":4,""type"":""wine""}";2025-12-04 23:50:36.58141+00
c0b3709c-c832-4142-ba6b-69ac2ffff802;f6fe9461-d81a-4a52-b194-3b7a30f6fa8c;drink_added;d4659660-350d-4a38-a9a3-943dc7865719;"{""image_url"":""https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/f6fe9461-d81a-4a52-b194-3b7a30f6fa8c/1767539754434.jpg"",""name"":""Bouza Albariño 2023"",""rating"":5,""type"":""wine""}";2026-01-04 15:16:48.838595+00
4a51e4a8-a270-4621-a6a6-02e62cb20ca3;5f3c9d2d-70f7-4d1b-9787-879d0dfac455;drink_added;24ad2752-d470-4151-b4f2-09d7da58c106;"{""image_url"":null,""name"":""Yamazaki 18 Year"",""rating"":5,""type"":""whiskey""}";2025-12-27 17:01:38.771502+00
659703b4-1dd8-4f64-8185-cd9f7152c2f5;b7d68135-b16f-4efd-89e9-dc9180061ef1;drink_added;465e7fea-3ed6-4ba8-8dc2-3517af84a901;"{""image_url"":""https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/b7d68135-b16f-4efd-89e9-dc9180061ef1/1767565488876.jpg"",""name"":""Glenmorangie A Tale of Spices"",""rating"":3,""type"":""whiskey""}";2026-01-04 22:25:05.548368+00
08c6a256-2396-43ee-b87d-c2435ab76d5b;f6fe9461-d81a-4a52-b194-3b7a30f6fa8c;drink_added;5b20ae01-7905-4d46-b163-52c16be571a8;"{""image_url"":null,""name"":""Sicilian Sour"",""rating"":4,""type"":""cocktail""}";2026-01-02 02:35:13.026573+00
f78245ce-af29-4f9c-ad86-5508d4caec41;b7d68135-b16f-4efd-89e9-dc9180061ef1;drink_added;48e6c981-91af-4c7f-bea6-215773dbaf00;"{""image_url"":""https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/b7d68135-b16f-4efd-89e9-dc9180061ef1/1767565291552.jpg"",""name"":""Bouza Albariño 2025"",""rating"":5,""type"":""wine""}";2026-01-04 22:21:49.939592+00
b5642d0f-6f1b-467f-b764-0fc203412c0c;b7d68135-b16f-4efd-89e9-dc9180061ef1;drink_added;f714ba3f-83e8-4bb6-9bde-3ecb5c8af073;"{""image_url"":null,""name"":""Patagonia Pale Ale"",""rating"":3,""type"":""beer""}";2026-01-05 01:00:56.158521+00
609467df-4875-4984-bb2f-e69250239721;b7d68135-b16f-4efd-89e9-dc9180061ef1;drink_added;354c8933-6ab1-46c8-96ea-c36388506f70;"{""image_url"":""https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/b7d68135-b16f-4efd-89e9-dc9180061ef1/1767565455304.jpg"",""name"":""Kanosuke Single Malt Japanese Whisky"",""rating"":5,""type"":""whiskey""}";2026-01-04 22:24:34.792268+00
c8716e5c-c414-441c-b956-cc4f6c139cd7;5f3c9d2d-70f7-4d1b-9787-879d0dfac455;drink_added;79676147-5c25-45ab-8bfc-90583d1a7eb7;"{""image_url"":null,""name"":""Chateau d'Yquem Sauternes 2016"",""rating"":5,""type"":""wine""}";2025-12-27 16:09:30.852843+00
56dcb423-6494-4ffc-be90-0012794214a2;b7d68135-b16f-4efd-89e9-dc9180061ef1;drink_added;6608a2f1-21f2-4551-b365-8e4ea5cff7a6;"{""image_url"":""https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/b7d68135-b16f-4efd-89e9-dc9180061ef1/1767565372343.jpg"",""name"":""José Ignacio Pinot Noir 2023"",""rating"":3,""type"":""wine""}";2026-01-04 22:23:21.535851+00
28467fc9-7fc9-49f5-bcb1-7d00ce965175;b7d68135-b16f-4efd-89e9-dc9180061ef1;drink_added;a88e513b-1d7f-4f60-910e-c1728045e0b5;"{""image_url"":""https://kvsfwvxlmrtbzafznczd.supabase.co/storage/v1/object/public/drink-images/b7d68135-b16f-4efd-89e9-dc9180061ef1/1768521102187.jpg"",""name"":""Pelter Single Malt Whisky"",""rating"":5,""type"":""whiskey""}";2026-01-15 23:52:22.955962+00
